eid,doi,title,year,source,issn,volume,issue,pageRange,doctype,first_author,author_names,author_ids,affilname,affiliation_country,citedby_count,openaccess,authkeywords
2-s2.0-105025022388,10.1016/j.egyr.2025.12.042,"Impact of microalgae-integrated windows on building performance: Energy, daylight, and carbon analysis using an innovative simulation method",2026,Energy Reports,,15,,,Article,Nazari S.,,,University of Tehran;University of Technology Sydney,Iran;Australia,1,1,
2-s2.0-105035254581,10.1016/j.enbuild.2026.117351,Building robustness: measuring climate-responsive performance with information theory,2026,Energy and Buildings,03787788,360,,,Article,Braham W.W.,,,University of Pennsylvania Stuart Weitzman School of Design,United States,0,1,
2-s2.0-105024611275,10.1016/j.sftr.2025.101599,Multi-objective optimization framework to achieve near-zero energy building in the Czech Republic for future climatic conditions,2026,Sustainable Futures,26661888,11,,,Article,Bavarsad F.S.,,,University Centre for Energy Efficient Buildings,Czech Republic,3,1,
2-s2.0-105032701225,10.15627/jd.2026.5,Sequential Multi-Objective Optimization and Post-optimization Sensitivity Analysis of Light Shelf Variables in Semi-Arid Climates,2026,Journal of Daylighting,23838701,13,1,76-96,Article,Rezaei F.,,,Khatam University,Iran,0,1,
2-s2.0-105026452555,10.1016/j.egyr.2025.109017,Hourly solar irradiance estimation and building-surface solar potential assessment via remote sensing and machine learning for data-scarce mountainous regions,2026,Energy Reports,,15,,,Article,Xu L.,,,Chengdu University,China,0,1,
2-s2.0-105038769941,10.1016/j.rico.2026.100732,Real-time validation of a partially shaded SAPV system using a sliding-inspired OCO-enhanced P&O MPPT Algorithm,2026,Results in Control and Optimization,,23,,,Article,Kurian A.A.,,,"Vellore Institute of Technology, Chennai",India,0,1,
2-s2.0-105031629892,10.1016/j.precisioneng.2026.02.017,Real-time monitoring of grinding wheel using a dynamic envelope model,2026,Precision Engineering,01416359,100,,39-51,Article,Du X.,,,Shandong University;Key Laboratory of High Efficiency and Clean Mechanical Manufacture,China;China,0,0,
2-s2.0-105035388547,10.1016/j.buildenv.2026.114479,3D façade geometry as a dual passive control in hot urban canyons: reducing street MRT and cooling loads,2026,Building and Environment,03601323,297,,,Article,Naboni E.,,,"Universidad de Sevilla;Università di Parma;Royal Danish Academy – Architecture, Design, Conservation;Norman Foster Institute",Spain;Italy;Denmark;Spain,0,0,
2-s2.0-105035055152,10.1016/j.enbuild.2026.117393,Climate-adaptive energy performance of green facades in a composite climate,2026,Energy and Buildings,03787788,360,,,Article,Khan I.H.,,,Jamia Millia Islamia;Ministry of Housing and Urban Affairs,India;India,0,0,
2-s2.0-105039957234,10.1073/pnas.2535522123,Indoor thermoregulatory homeostasis using hydrodynamic instability,2026,Proceedings of the National Academy of Sciences of the United States of America,00278424,123,21,,Article,Kay R.,,,University of Toronto;Harvard John A. Paulson School of Engineering and Applied Sciences,Canada;United States,0,1,
2-s2.0-105039260780,10.1021/acsami.6c04063,Durable VO2-Based Thermochromic Paint for Energy-Efficient Opaque Building Facades,2026,ACS Applied Materials and Interfaces,19448244,18,19,28101-28114,Article,Guo X.,,,KU Leuven,Belgium,0,0,
2-s2.0-105033708421,10.1016/j.buildenv.2026.114519,Segmented dynamic photovoltaic shading façade based on kiri-origami: Multi-objective decision-making and interpretable machine learning analysis,2026,Building and Environment,03601323,296,,,Article,Qi Z.,,,Qingdao University of Technology;The University of Kitakyushu,China;Japan,0,0,
2-s2.0-105033720864,10.1016/j.buildenv.2026.114495,"Behavior-informed split-pane electrochromic window control: laboratory experiment, comfort threshold extraction, and strategy validation",2026,Building and Environment,03601323,296,,,Article,Zhong Y.,,,Hunan University,China,0,0,
2-s2.0-105037816760,10.31202/ecjse.1786255,Biomimetic Design of a Climate-Responsive Building Envelope Cell Performing Under Both Hot and Cold Weather Conditions,2026,El Cezeri Journal of Science and Engineering,,13,2,255-273,Article,Avcıoğlu B.Ç.,,,Gazi Üniversitesi,Turkey,0,1,
2-s2.0-105040080485,10.3390/en19102267,Modeling of Adaptive Shading Adjustment Behavior in Buildings and Its Impacts on Building Energy Consumption and Indoor Lighting and Thermal Environments: A Systematic Review,2026,Energies,,19,10,,Review,Li S.,,,Ningbo University,China,0,1,
2-s2.0-105027935795,10.1016/j.solmat.2026.114163,Comprehensive VIPV energy yield and MPPT evaluation under realistic dynamic shading in urban environments,2026,Solar Energy Materials and Solar Cells,09270248,298,,,Article,Moruno R.,,,"Instituto de Energía Solar, Universidad Politécnica de Madrid",Spain,2,1,
2-s2.0-105036503017,10.1115/1.4071458,Artificial Intelligence-Driven Adaptive Facade Systems in High-Rise Buildings: A Study on Integrating Machine Learning With Real-Time Environmental Data to Optimize Energy Efficiency,2026,Journal of Engineering for Sustainable Buildings and Cities,26426641,7,2,,Article,AlBattat H.A.,,,The University of Jordan,Jordan,0,0,
2-s2.0-105038219631,10.1093/jcde/qwag038,Predictive collective control of large-scale kinetic facades via graph neural networks and reinforcement learning: From simulation to physical validation,2026,Journal of Computational Design and Engineering,22884300,13,5,1-30,Article,Shin S.,,,Chung-Ang University,South Korea,0,1,
2-s2.0-105031895975,10.1016/j.applthermaleng.2026.130448,Design development and characterization of thermotropic façade system with honeycomb construction,2026,Applied Thermal Engineering,13594311,293,,,Article,Ming Y.,,,Southwest Jiaotong University,China,0,0,
2-s2.0-105040066374,10.3390/cimb48050521,Genome-Wide Analysis of bZIP Transcription Factors and Expression Patterns in Response to Shading Treatment in Taxus yunnanensis,2026,Current Issues in Molecular Biology,14673037,48,5,,Article,Fan J.,,,Sichuan Agricultural University,China,0,1,
2-s2.0-105028497514,10.1016/j.ecmx.2026.101604,Photovoltaic maximum power point tracking through reconfiguration and algorithm strategy: a comprehensive review,2026,Energy Conversion and Management X,,30,,,Review,Li Y.Y.,,,Universiti Malaya,Malaysia,0,1,
2-s2.0-105034579858,10.1016/j.renene.2026.125415,"Design, experimental testing, and numerical investigation of a ventilated semi-transparent photovoltaic facade integrated with supply-air conditioning in summer",2026,Renewable Energy,09601481,263,,,Article,Xu S.,,,University of Science and Technology of China;Key Laboratory of Solar Thermal Conversion of Anhui Province,China;China,0,0,
2-s2.0-105037547057,10.1007/s00484-026-03207-3,Revealing walking experiences for shading based gendered perceptions of thermal comfort in a hot city,2026,International Journal of Biometeorology,00207128,70,5,,Article,Liu H.,,,University of Oxford;Macau University of Science and Technology,United Kingdom;Macao,0,0,
2-s2.0-105031172632,10.1016/j.enbuild.2026.117192,RHpT: Bioclimatic framework for passive climate-adaptive bio-façades in urban contexts,2026,Energy and Buildings,03787788,358,,,Article,Debnath K.B.,,,Newcastle University;University of Technology Sydney,United Kingdom;Australia,0,1,
2-s2.0-105038552379,10.3390/buildings16091779,Research on the Impact of Transition Space on the Optimization of Thermal Environment in Community Elderly Indoor Activity Spaces,2026,Buildings,,16,9,,Article,Hou G.,,,Hebei University of Technology,China,0,1,
2-s2.0-105040100498,10.3390/buildings16101887,Dynamic Optimization Model for Passive Solar Shading and Its Application in Building Energy Efficiency Across Multiple,2026,Buildings,,16,10,,Article,Chen S.,,,Nanjing Tech University,China,0,1,
2-s2.0-105033239035,10.1016/j.buildenv.2026.114475,Surrogate model-based design optimization of modular façades under multifunctional scenarios,2026,Building and Environment,03601323,295,,,Article,Zhang C.,,,National University of Singapore;Southeast University,Singapore;China,2,0,
2-s2.0-105031888860,10.1016/j.enbuild.2026.117222,"High-performance envelopes in the Mediterranean: Energy and comfort effects of BIPVs, shading devices, and green walls",2026,Energy and Buildings,03787788,358,,,Review,Merç K.E.,,,Izmir Yüksek Teknoloji Enstitüsü,Turkey,0,0,
2-s2.0-105031735170,10.1016/j.enconman.2026.121306,Adaptive photonic films for fenestration-integrated PV technology to enhance energy saving and thermal comfort: Concept and theoretical investigation,2026,Energy Conversion and Management,01968904,355,,,Article,Wang C.,,,City University of Hong Kong,Hong Kong,0,0,
2-s2.0-105027941516,10.1016/j.solmat.2026.114162,Haze-engineered electrochromic WO3 smart windows for tunable solar modulation and privacy control,2026,Solar Energy Materials and Solar Cells,09270248,298,,,Article,Madhavan N.D.,,,Academy of Scientific and Innovative Research (AcSIR);National Institute for Interdisciplinary Science and Technology,India;India,0,0,
2-s2.0-105040050308,10.3390/en19102376,Analysis of Light Environment and Energy Performance of Smart Farms with Thermochromic Window Application,2026,Energies,,19,10,,Article,Seo J.,,,Chungwoon University,South Korea,0,1,
2-s2.0-105034725653,10.1016/j.conbuildmat.2026.146124,Drying process in a 3D-printed multilayer wall system: An experimental and numerical analysis,2026,Construction and Building Materials,09500618,521,,,Article,Pessoa S.,,,Universidade do Porto,Portugal,0,1,
2-s2.0-105036436530,10.1021/acsomega.5c11485,"Transparent Wood with Polymer-Dispersed Liquid Crystals for Next-Generation Smart Windows: Prospective for Energy Efficiency, Diurnal Light, and CO2 Emission Mitigation",2026,ACS Omega,,11,15,22688-22704,Article,Rajan R.,,,Vellore Institute of Technology,India,0,1,
2-s2.0-105031083425,10.1016/j.enconman.2026.121289,An endogenous adaptive slime mould algorithm for curved photovoltaic systems MPPT under dynamic self-shading,2026,Energy Conversion and Management,01968904,354,,,Article,Xiang Q.,,,Jimei University,China,0,0,
2-s2.0-105029653511,10.1016/j.enbuild.2026.117104,Bio-jaali: Reimagining vernacular passive cooling screens with mycelium-based composites,2026,Energy and Buildings,03787788,357,,,Article,Debnath K.B.,,,Newcastle University;University of Technology Sydney,United Kingdom;Australia,1,1,
2-s2.0-105035264735,10.1016/j.oceaneng.2026.124608,Lyapunov-EMPC based MPPT control for offshore bifacial photovoltaic systems considering environmental uncertainty,2026,Ocean Engineering,00298018,352,P2,,Article,Li J.,,,Lanzhou Jiaotong University,China,0,0,
2-s2.0-105024759679,10.1016/j.bspc.2025.109417,"Adaptive weighted CEEMDAN-driven vibroacoustic augmentation and classification for precise, multiclass knee osteoarthritis assessment",2026,Biomedical Signal Processing and Control,17468094,115,,,Article,Jha P.K.,,,Indian Institute of Technology Guwahati;Swayogya Rehab Solutions Private Limited,India;India,1,0,
2-s2.0-105024445764,10.1108/OHI-12-2024-0402,Algorithmic replication of macramé techniques: bridging analog movements with computational design,2026,Open House International,01682601,51,2,304-326,Article,Çevik A.N.,,,T.C. Istanbul Kültür Üniversitesi,Turkey,0,0,
2-s2.0-105037043202,10.3390/buildings16081519,The Development and Performance of a Novel Switchable Shading Device,2026,Buildings,,16,8,,Article,Magri E.,,,L-Università ta' Malta,Malta,0,1,
2-s2.0-105036811313,10.3390/buildings16081615,"Wind-Sound Synergy and Fractal Design: Intelligent, Adaptive Acoustic Façades for High-Performance, Climate-Responsive Buildings",2026,Buildings,,16,8,,Article,Tan L.,,,The Hong Kong Polytechnic University,Hong Kong,0,1,
2-s2.0-105034762437,10.51461/issn.2309-3072/87.2744,Breathing architecture: Integrating nature and cities,2026,Project Baikal,23074485,,87,92-101,Article,Juraev S.,,,Tashkent State University of Oriental Studies,Uzbekistan,0,1,
2-s2.0-105029437626,10.1016/j.jweia.2026.106373,Advancing tornado-like vortex (TLV) generation in straight-line wind simulators: An LES study,2026,Journal of Wind Engineering and Industrial Aerodynamics,01676105,271,,,Article,Hasan M.A.,,,Texas Tech University,United States,0,0,
