eid,doi,title,year,source,issn,volume,issue,pageRange,doctype,first_author,author_names,author_ids,affilname,affiliation_country,citedby_count,openaccess,authkeywords
2-s2.0-105011854535,10.3390/buildings15142491,Biomimetic Opaque Ventilated Façade for Low-Rise Buildings in Hot Arid Climate,2025,Buildings,,15,14,,Article,Alyahya A.,,,Imam Abdulrahman Bin Faisal University,Saudi Arabia,4,1,
2-s2.0-105011877910,10.3390/buildings15142577,The Impact of Building Windows on Occupant Well-Being: A Review Integrating Visual and Non-Visual Pathways with Multi-Objective Optimization,2025,Buildings,,15,14,,Review,He S.,,,Nanjing Forestry University,China,12,1,
2-s2.0-85201797524,10.1007/s00542-024-05746-4,Comparative assessment of various MPPT algorithms for solar photovoltaic systems under dynamic shading conditions,2025,Microsystem Technologies,09467076,31,7,1649-1659,Article,Yadav A.,,,"Government Engineering College, Raipur",India,2,0,
2-s2.0-105010701100,10.1016/j.jtherbio.2025.104212,"Future climate impacts on urban office Buildings: Energy, comfort, and passive solutions in Osaka, Japan",2025,Journal of Thermal Biology,03064565,131,,,Article,Bavarsad F.S.,,,University Centre for Energy Efficient Buildings,Czech Republic,7,1,
2-s2.0-105000918728,10.1016/j.jobe.2025.112104,"Optimal daylighting design for standard photopic and melanopic equivalent daylight illuminance, and glare minimization in Tehran classrooms",2025,Journal of Building Engineering,,105,,,Article,Noor M.C.,,,Iran University of Science and Technology,Iran,3,0,
2-s2.0-105003811207,10.1016/j.buildenv.2025.113048,Biomimetic self-shading walls via 3D-printing for reduced heat gain: Multiscale learning using graph neural networks to predict solar radiation absorption,2025,Building and Environment,03601323,279,,,Article,Wang H.,,,National University of Singapore,Singapore,9,0,
2-s2.0-105029566104,10.21475/ajcs.25.19.07.p34,"The effect of shading and vermicompost on the growth, yield, antioxidant activity, and flavonoid content of two Medinilla species",2025,Australian Journal of Crop Science,18352693,19,7,758-764,Article,Dullah I.C.,,,Universitas Sebelas Maret,Indonesia,2,1,
2-s2.0-105011673611,10.3390/pr13072275,Ventilated Facades for Low-Carbon Buildings: A Review,2025,Processes,,13,7,,Review,Cuce P.M.,,,Birmingham City University;Recep Tayyip Erdogan University,United Kingdom;Turkey,14,1,
2-s2.0-105005200552,10.1002/ep.14621,Maximizing energy harvesting in grid-connected hybrid photovoltaic and thermoelectric generator systems: An adaptive global power tracking technique,2025,Environmental Progress and Sustainable Energy,19447442,44,4,,Article,Al-Tawalbeh N.,,,Al Al-Bayt University,Jordan,2,0,
2-s2.0-105007906071,10.21608/jesaun.2025.360974.1428,"From Stasis to Motion: Enhancing Environmental Performance through Dynamic Architecture Techniques A Reimagining of Traditional MashRabiya in Contemporary Case Study Design Commercial Building Design in Egypt (Mokattam area, Cairo)",2025,Journal of Engineering Sciences,16870530,53,4,537-554,Article,Abd Elregal M.M.H.,,,Modern Academy in Maadi,Egypt,0,1,
2-s2.0-105007879009,10.1088/2631-8695/addfac,Partial shading impact analysis on solar PV system performance: a MATLAB/SIMULINK study on optimal array configurations,2025,Engineering Research Express,,7,2,,Article,Lee K.T.,,,Universiti Malaya,Malaysia,2,2,
2-s2.0-105006665733,10.1016/j.scs.2025.106484,Tabular prior-data fitted network for urban air temperature inference and high temperature risk assessment,2025,Sustainable Cities and Society,22106707,128,,,Article,Yu Z.,,,Ministry of Education of the People's Republic of China;Tongji University;Tongji Architectural Design (Group) Co. Ltd,China;China;China,13,0,
2-s2.0-105006797861,10.1021/acsenergylett.5c00637,"Glare-Free, Energy-Efficient Smart Windows: A Pedestrian-Friendly System with Dynamically Tunable Light and Heat Regulation",2025,ACS Energy Letters,,10,6,2997-3004,Article,Jo H.J.,,,University of Seoul,South Korea,8,0,
2-s2.0-105009000892,10.3390/buildings15122072,Adaptive Façades for High-Rise Residential Buildings: A Qualitative Analysis of the Design Parameters and Methods,2025,Buildings,,15,12,,Article,Assadimoghadam A.,,,Deakin University,Australia,4,1,
2-s2.0-105003802281,10.1016/j.rineng.2025.105000,Achieving operational synergy between different adaptive façade technologies,2025,Results in Engineering,,26,,,Article,Alkhatib H.,,,"Technological University Dublin;MaREI, the SFI Research Centre for Energy, Climate and Marine",Ireland;Ireland,4,1,
2-s2.0-85218080379,10.15627/jd.2025.5,Designing Adaptability Strategy to a Novel Kinetic Adaptive Façade (NKAF); Toward a Pioneering Method in Dynamic-objects Daylight Simulation (Post-Processing),2025,Journal of Daylighting,23838701,12,1,69-90,Article,Goharian A.,,,Tarbiat Modares University,Iran,7,1,
2-s2.0-105007750748,10.3390/buildings15111853,Computational Evaluation of a Biomimetic Kinetic Façade Inspired by the Venus Flytrap for Daylight and Glare Performance,2025,Buildings,,15,11,,Article,Farmani F.,,,University of Tehran,Iran,3,1,
2-s2.0-105007747655,10.3390/buildings15111961,Energy-Saving Performance and Optimization Study of Adaptive Shading System—A Case Study,2025,Buildings,,15,11,,Article,Yang F.,,,China MCC5 Group Corp. Ltd.,China,2,1,
2-s2.0-105007669014,10.3390/en18112682,A Simplified Model Validation for the Energy Assessment of Opaque Adaptive Façades with Variable Thermal Resistance,2025,Energies,,18,11,,Article,Palacios Mackay I.,,,Universidad del Bio Bio,Chile,1,1,
2-s2.0-105001272856,10.1016/j.egyr.2025.03.021,Kinetic facades as a solution for educational buildings: A multi-objective optimization simulation-based study,2025,Energy Reports,,13,,3915-3928,Article,Yazdi Bahri S.,,,Universitat Politècnica de Catalunya,Spain,14,1,
2-s2.0-85217251600,10.15627/jd.2025.1,Daylight Optimization of the South-Faced Architecture Classrooms Using Biomimicry-Based Kinetic Facade Shading System,2025,Journal of Daylighting,23838701,12,1,1-20,Article,Yunitsyna A.,,,Universiteti Metropolitan Tirana,Albania,4,1,
2-s2.0-105007841368,10.3390/su17115176,Sustainable Insulation Technologies for Low-Carbon Buildings: From Past to Present,2025,Sustainability Switzerland,,17,11,,Review,Cuce P.M.,,,Birmingham City University;Recep Tayyip Erdogan University,United Kingdom;Turkey,12,1,
2-s2.0-105018813599,10.1007/s44150-025-00156-0,Numerical analysis of perforated bending-active plates integrated in unitized curtain wall,2025,Architecture Structures and Construction,27309886,5,1,,Article,Sergidis C.,,,University of Cyprus,Cyprus,1,1,
2-s2.0-105002439740,10.1007/s42107-025-01331-w,A review of multi objective optimization in sustainable architecture: enhancing energy efficiency through dynamic facades,2025,Asian Journal of Civil Engineering,15630854,26,6,2319-2330,Review,Bhote J.V.,,,Manipal School of Architecture & Planning,India,3,0,
2-s2.0-85200678485,10.1177/14780771241270265,From theory to practice: Truchet tile as a computational visual coding approach for facade visualization,2025,International Journal of Architectural Computing,14780771,23,2,464-480,Article,EL-Mahdy D.,,,Faculty of Engineering,Egypt,4,0,
2-s2.0-105009088452,10.3390/buildings15122100,Development of a Solar-Tracking Movable Louver with a PV Module for Building Energy Reduction,2025,Buildings,,15,12,,Article,Han S.,,,Sangmyung University,South Korea,2,1,
2-s2.0-105012978506,10.18280/ijdne.200608,Biomimetic Strategies in Kinetic Architecture: A Comparative Analysis of Nature-Inspired Roof and Façade Designs,2025,International Journal of Design and Nature and Ecodynamics,17557437,20,6,1269-1282,Article,Razoki F.J.,,,University of Mosul,Iraq,0,1,
2-s2.0-105007709294,10.3390/electronics14112157,Research on Maximum Power Point Tracking Based on an Improved Harris Hawks Optimization Algorithm,2025,Electronics Switzerland,,14,11,,Article,Rong J.,,,Wuhan Polytechnic University,China,2,1,
2-s2.0-105004260509,10.1016/j.egyr.2025.04.064,On the use of dynamic film to improve the thermal and solar performance of multiple glazing units. Preliminary testing and assessment,2025,Energy Reports,,13,,5281-5289,Article,Zinzi M.,,,"Ente Per Le Nuove Tecnologie, l'Energia e l'Ambiente",Italy,3,1,
2-s2.0-105007997218,,Hybrid Optimization for Photovoltaic Power Systems: Enhancing MPPT with Improved Whale and Particle Swarm Algorithms,2025,Engineering Letters,1816093X,33,6,1746-1758,Article,Liu T.,,,Shenyang Agricultural University,China,3,0,
2-s2.0-105001330352,10.1016/j.enbuild.2025.115594,Prescriptive tool for zero-emissions building fenestration design using hybrid metaheuristic algorithms,2025,Energy and Buildings,03787788,336,,,Article,Caro R.,,,"Escuela Técnica Superior de Arquitectura, Universidad Politécnica de Madrid",Spain,1,2,
2-s2.0-105007185681,10.37917/ijeee.21.1.11,Design and Validation of Super-Capacitor Assisted Photovoltaic Array for Roof-Top Solar Powered Electric Vehicle Applications,2025,Iraqi Journal for Electrical and Electronic Engineering,18145892,21,1,117-125,Article,Karunanithi K.,,,Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,India,0,1,
2-s2.0-85216645086,10.1016/j.jobe.2025.111813,A method for achieving optimal thermal performance of adaptive opaque facades based on monthly loads across China,2025,Journal of Building Engineering,,102,,,Article,Gao M.,,,South China University of Technology,China,3,0,
2-s2.0-105008570209,10.18280/ijsdp.200507,Parametric Analysis of Daylight and Solar Energy Performance of Oasis Building Environments Through Kinetic Shading Devices Integrated with a Photovoltaic System,2025,International Journal of Sustainable Development and Planning,17437601,20,5,1899-1907,Article,Berkouk D.,,,Université Mohamed Khider Biskra;Dar Al-Hekma University,Algeria;Saudi Arabia,0,1,
2-s2.0-85218992312,10.1016/j.enbuild.2025.115491,An advanced numerical model for dynamic daylight and energy consumption analysis of thermal-responsive complex fenestration system with adaptive solar absorption,2025,Energy and Buildings,03787788,334,,,Article,Ming Y.,,,Southwest Jiaotong University,China,5,1,
2-s2.0-85218637971,10.1016/j.enbuild.2025.115488,Comprehensive impact of two advanced thermotropic façades designs on building daylight and energy performance,2025,Energy and Buildings,03787788,334,,,Article,Ming Y.,,,Southwest Jiaotong University,China,7,1,
2-s2.0-105004796177,10.3390/en18092375,A Systematic Review of Sensitivity Analysis in Building Energy Modeling: Key Factors Influencing Building Thermal Energy Performance,2025,Energies,,18,9,,Review,Roka R.,,,Universidade de Aveiro,Portugal,22,1,
2-s2.0-105004839203,10.3390/buildings15091434,"Energy-Efficient Design of Immigrant Resettlement Housing in Qinghai: Solar Energy Utilization, Sunspace Temperature Control, and Envelope Optimization",2025,Buildings,,15,9,,Article,Liu B.,,,Xi'an University of Architecture and Technology,China,4,1,
2-s2.0-105007689472,10.13189/cea.2025.131304,Utilizing Adaptive Glass and Materials in Smart Window Design to Improve Thermal Performance of Buildings in Hot Climates,2025,Civil Engineering and Architecture,23321091,13,3,2216-2236,Article,Salama K.R.,,,Faculty of Engineering,Egypt,0,1,
2-s2.0-86000784109,10.1016/j.solener.2025.113268,"Suitable transition temperature on thermo-adaptive reflectance for opaque facades: Influence of climate, solar orientation, and facade material",2025,Solar Energy,0038092X,291,,,Article,Andrade Santos R.,,,CERIS – Civil Engineering Research and Innovation for Sustainability,Portugal,0,0,
2-s2.0-86000151330,10.1016/j.solener.2025.113388,A hybrid global wolf pack algorithm-based incremental conductance method under partial shading conditions,2025,Solar Energy,0038092X,291,,,Article,Xiao W.,,,Tianjin University,China,8,0,
2-s2.0-85216801550,10.1016/j.dld.2025.01.189,Liver sinusoidal endothelial cells: Friend or foe in metabolic dysfunction- associated steatotic liver disease/metabolic dysfunction-associated steatohepatitis,2025,Digestive and Liver Disease,15908658,57,5,493-503,Review,Dai Q.,,,Universitätsklinikum Jena und Medizinische Fakultät,Germany,24,1,
2-s2.0-105006746001,10.3390/buildings15101648,"Climate-Responsive Design of Photovoltaic Façades in Hot Climates: Materials, Technologies, and Implementation Strategies",2025,Buildings,,15,10,,Review,Wu X.,,,Guangdong Power Grid Corporation,China,19,1,
2-s2.0-105006617880,10.3390/buildings15101593,A Systematic Review on the Research and Development of Adaptive Buildings,2025,Buildings,,15,10,,Review,Lin Y.,,,University of Shanghai for Science and Technology,China,4,1,
2-s2.0-85214011602,10.1016/j.jobe.2024.111701,A review on adaptive and non-adaptive shading devices for sustainable buildings,2025,Journal of Building Engineering,,100,,,Review,Avcı P.,,,Izmir Yüksek Teknoloji Enstitüsü,Turkey,12,0,
2-s2.0-85204870157,10.1016/j.foar.2024.08.002,A systematic method of generating hinged tessellations by adding hinged plates based on dual graphs,2025,Frontiers of Architectural Research,20952635,14,2,545-559,Article,Wang H.,,,College of Civil Engineering and Architecture Zhejiang University,China,3,1,
2-s2.0-85218120860,10.1016/j.buildenv.2025.112724,An integrated adaptive façade system using a glass block filled with phase change material: Cooling energy load and performance enhancement,2025,Building and Environment,03601323,273,,,Article,Čekon M.,,,Slovak University of Technology in Bratislava;Institute of Construction and Architecture Slovak Academy of Sciences,Slovakia;Slovakia,9,1,
2-s2.0-105002285610,10.3390/buildings15071123,Dynamic Integration of Shading and Ventilation: Novel Quantitative Insights into Building Performance Optimization,2025,Buildings,,15,7,,Article,Mazzetto S.,,,Prince Sultan University,Saudi Arabia,17,1,
2-s2.0-85213535470,10.1016/j.jobe.2024.111643,Energy-efficient building façades: A comprehensive review of innovative technologies and sustainable strategies,2025,Journal of Building Engineering,,99,,,Review,Tahmasbi F.,,,Temple University;Ballinger,United States;United States,33,0,
2-s2.0-105003462090,10.3390/designs9020031,Delta IXI: Deployable Structure with Flax Fibre Pultruded Profiles for Architectural Applications—Case Studies in Furniture and Adaptive Facade Systems,2025,Designs,,9,2,,Article,Courarie-Delage I.,,,Universität Stuttgart,Germany,0,1,
2-s2.0-85214140676,10.1016/j.tws.2024.112886,Experimental study on harnessing torsion-induced buckling of frames for adaptive shading modules,2025,Thin Walled Structures,02638231,209,,,Article,Hu Y.,,,Faculty of Engineering,Australia,1,1,
2-s2.0-85217063442,10.1016/j.enbuild.2025.115431,Fully exploiting solar energy with building envelops: Experimental study on an adjustable photovoltaic green facade,2025,Energy and Buildings,03787788,332,,,Article,Li C.,,,Shenzhen University;State Key Laboratory of Subtropical Building and Urban Science,China;China,13,0,
2-s2.0-105001572160,10.1016/j.seta.2025.104297,Comprehensive performance analysis of semitransparent CdTe PV windows in static and dynamic facades: A real ship case study,2025,Sustainable Energy Technologies and Assessments,22131388,76,,,Article,Hu H.,,,Jimei University,China,2,0,
2-s2.0-85212953481,10.1016/j.jobe.2024.111645,Investigations for the daylighting performance of trapezoid profile shadings using multi-objective optimization,2025,Journal of Building Engineering,,99,,,Article,Ibrahim A.,,,University of Science and Technology of China,China,15,0,
2-s2.0-105003491014,10.3390/designs9020041,Review of Dynamic Building Envelope Systems and Technologies Utilizing Renewable Energy Resources,2025,Designs,,9,2,,Review,Almesbah M.,,,Penn State College of Engineering,United States,4,1,
2-s2.0-86000295890,10.1007/s12273-025-1246-6,Improving outdoor thermal environmental quality through kinetic canopy empowered by machine learning and control algorithms,2025,Building Simulation,19963599,18,4,699-720,Article,Zeng T.,,,Tsinghua University,China,19,0,
2-s2.0-105002764714,10.18686/cest335,Hybrid Artificial Bee Colony and incremental conductance—Algorithm for enhanced MPPT in photovoltaic systems,2025,Clean Energy Science and Technology,,3,2,,Article,Abo-Khalil A.G.,,,University of Sharjah,United Arab Emirates,1,1,
2-s2.0-86000763996,10.35378/gujs.1433809,"Multi-Objective Optimization of a Folding Kinetic Facade System Proposal for Thermal, Daylight, and Energy Performances",2025,Gazi University Journal of Science,,38,1,1-16,Article,Yaman Y.,,,Dokuz Eylül Üniversitesi,Turkey,4,1,
2-s2.0-85217028059,10.13189/cea.2025.130204,A Multi-objective Optimization for Passive Adaptive Envelope Integrating Smart Materials,2025,Civil Engineering and Architecture,23321091,13,2,794-812,Article,Mahdy M.,,,College of Engineering and Technology,Egypt,4,1,
2-s2.0-85212415840,10.1061/JAEIED.AEENG-1705,Utilizing Kinematic Models of Kinetic Facades to Obtain Optimal Natural Lighting in an Office Building,2025,Journal of Architectural Engineering,10760431,31,1,,Article,Sangtarash F.,,,"Islamic Azad University, South Tehran Branch",Iran,0,0,
2-s2.0-86000285490,10.13189/cea.2025.130239,Machine Learning for Adaptive Facade Design: Enhancing Thermal Performance in Urban Architecture,2025,Civil Engineering and Architecture,23321091,13,2,1273-1288,Article,Ghoneim R.S.,,,Al-Ahliyya Amman University,Jordan,16,1,
2-s2.0-105001327613,10.3390/architecture5010012,"Space-Containing Façades: Mediating Environmental, Social, and Urban Dynamics in Collective Housing Design",2025,Architecture,,5,1,,Article,Kousidi S.,,,Politecnico di Milano,Italy,5,1,
2-s2.0-105001114046,10.3390/buildings15060876,Design Optimization Approach for Residential Outdoor Environments Based on Seasonal Variations in Local Thermal Perception,2025,Buildings,,15,6,,Article,Yan Y.,,,China Academy of Building Research;Zhongguancun Institute of Human Settlements Engineering and Materials,China;China,3,1,
2-s2.0-105001090112,10.1177/01436244241306595,A comparison between the impact of dynamic envelope control strategies on the buildings’ smart readiness indicator and modelled performance,2025,Building Services Engineering Research and Technology,01436244,46,2,229-250,Article,Paydar M.A.,,,The Bartlett Faculty of the Built Environment,United Kingdom,3,1,
2-s2.0-105001386065,10.3390/horticulturae11030319,Impact of Different Shading Conditions on Processing Tomato Yield and Quality Under Organic Agrivoltaic Systems,2025,Horticulturae,,11,3,,Article,Dal Prà A.,,,Consiglio Nazionale delle Ricerche,Italy,2,1,
2-s2.0-86000503421,10.3390/su17052116,A Smart Roller Shutters Control for Enhancing Thermal Comfort and Sustainable Energy Efficiency in Office Buildings,2025,Sustainability Switzerland,,17,5,,Article,Magraoui C.,,,Université Blida 1;Centre National de Recherche et d’Etudes Intégrées du Bâtiment,Algeria;Algeria,3,1,
2-s2.0-105001160974,10.3390/en18061402,Thermal Performance Evaluation of a Retrofitted Building with Adaptive Composite Energy-Saving Facade Systems,2025,Energies,,18,6,,Article,Zhangabay N.,,,M. Auezov South Kazakhstan University,Kazakhstan,9,1,
2-s2.0-105003105190,10.1007/s11012-024-01802-5,Hybrid origami-linkage vaulted deployable structures: parametric development and form-finding,2025,Meccanica,00256455,60,3,621-631,Article,Vlachaki E.,,,University of Patras,Greece,7,1,
2-s2.0-86000190113,10.1364/OL.550391,Blind signal reconstruction for continuous-time photonic time-stretch analog-to-digital converters,2025,Optics Letters,01469592,50,5,1653-1656,Article,Guo Y.,,,Shanghai Jiao Tong University,China,1,0,
2-s2.0-85214505558,10.1016/j.buildenv.2024.112409,User interaction with smart glazing: Effect of switching speed under overcast sky condition,2025,Building and Environment,03601323,270,,,Article,de la Barra P.,,,Faculteit Bouwkunde van de TU Delft,Netherlands,3,0,
2-s2.0-85209902839,10.1016/j.tws.2024.112739,Design and photothermal coupling analysis of Kresling origami-based intelligent dynamic shading system,2025,Thin Walled Structures,02638231,207,,,Article,Zhang J.,,,Yanshan University,China,10,0,
2-s2.0-85218453876,10.3390/buildings15040578,Technical Review of Solar Distribution Calculation Methods: Enhancing Simulation Accuracy for High-Performance and Sustainable Buildings,2025,Buildings,,15,4,,Review,Rocha A.P.d.A.,,,Pontifícia Universidade Católica do Paraná,Brazil,2,1,
2-s2.0-85218903133,10.3390/urbansci9020030,“Build It and They Will Stay”: Assessing the Social Impact of Self-Build Practices in Urban Regeneration,2025,Urban Science,,9,2,,Article,Manunza A.,,,Università degli Studi di Cagliari,Italy,3,1,
2-s2.0-85209755818,10.1016/j.apenergy.2024.124900,Food-energy-water nexus considerations in optimal greenhouse farming systems design and operation,2025,Applied Energy,03062619,379,,,Article,Di Martino M.,,,Texas A&M University;College of Engineering,United States;United States,7,0,
2-s2.0-85218636726,10.3390/en18040918,A Review of Artificial Intelligence Applications in Architectural Design: Energy-Saving Renovations and Adaptive Building Envelopes,2025,Energies,,18,4,,Review,Li Y.,,,Cardiff University,United Kingdom,18,1,
2-s2.0-85218882604,10.3390/act14020045,Dynamic Envelope Optimization of Articulated Vehicles Based on Multi-Axle Steering Control Strategies,2025,Actuators,,14,2,,Article,Sun Z.,,,Tsinghua University,China,1,1,
2-s2.0-85208399934,10.1016/j.apenergy.2024.124787,Experimental energy performance assessment of a smart controlled water-flow glazing adaptive facade in heating demand conditions,2025,Applied Energy,03062619,378,,,Article,Claros-Marfil L.J.,,,Universidad Politécnica de Madrid,Spain,3,0,
2-s2.0-85214263895,10.1080/17508975.2024.2448524,Proposal for a kinetic façade system based on curved line folding technique,2025,Intelligent Buildings International,17508975,17,3,149-162,Article,Neseliler P.,,,Izmir Ekonomi Üniversitesi,Turkey,2,0,
2-s2.0-85216662439,10.55214/25768484.V9I1.4251,Advancing adaptive facades for a sustainable future in building design,2025,Edelweiss Applied Science and Technology,,9,1,801-845,Article,Kadhim B.M.,,,University of Technology- Iraq,Iraq,12,1,
2-s2.0-85215760274,10.3390/su17020783,Sustainable Design: Minimizing Discomfort Glare Through Data-Driven Methods for Responsive Facades,2025,Sustainability Switzerland,,17,2,,Article,Matin N.H.,,,The University of Oklahoma,United States,5,1,
2-s2.0-105033349571,10.23968/2500-0055-2025-10-4-3-16,IMPACT OF ADAPTIVE BIOMIMETIC BUILDING SKINS ON INDOOR THERMAL COMFORT: A COMPUTATIONAL EVALUATION,2025,Architecture and Engineering,,10,4,3-16,Article,Hadef S.S.,,,Faculty of Science and Technology,Algeria,0,1,
2-s2.0-105019198767,10.37575/b/eng/250018,Building Energy Performance Assessment Based on a Bio-Inspired Kinetic Shading Devices,2025,Scientific Journal of King Faisal University Basic and Applied Sciences,16580311,26,2,36-42,Article,Hadef S.S.,,,Faculty of Sciences and Technology,Algeria,1,1,
2-s2.0-105018678599,10.1108/SASBE-07-2025-0388,An integrated generative-analytic framework for the performance-driven design of kinetic façades,2025,Smart and Sustainable Built Environment,20466099,,,1-28,Article,Hosseini S.M.,,,Aalborg University,Denmark,3,2,
2-s2.0-105012552090,10.1080/23744731.2025.2534771,Biomimetic approach for beams-redirected adaptive facade with emphasis on user position and the clustered synthesis,2025,Science and Technology for the Built Environment,23744731,31,8,970-1000,Article,Goharian A.,,,Compu-lyzer Architects Association,Iran,1,0,
2-s2.0-105017431948,10.46904/eea.25.73.3.1108006,A New Hybrid Algorithm for Power Optimization in Shaded Photovoltaic Systems,2025,Eea Electrotehnica Electronica Automatica,15825175,73,4,45-52,Article,Abdelmalek F.,,,Université Ferhat Abbas Sétif 1,Algeria,0,0,
2-s2.0-86000372255,10.1080/19401493.2024.2432915,LiDICS: a light dynamics interface for multi-domain simulation based on the FMI-standard,2025,Journal of Building Performance Simulation,19401493,18,2,229-246,Article,Weber S.O.,,,Universität Stuttgart,Germany,1,1,
2-s2.0-105016498349,10.12732/ijam.v38i1s.12,SIMULATION-BASED INVESTIGATION OF ETFE AND AUTOHEAL POLYMERS FOR ENERGY EFFICIENCY AND THERMAL COMFORT IN ADAPTIVE BUILDING ENVELOPES,2025,International Journal of Applied Mathematics,13111728,38,1S,177-211,Article,Kuda A.,,,Manipal University Jaipur,India,0,1,
2-s2.0-85209555632,10.1016/j.enbuild.2024.115072,Optimizing the tilt angle of kinetic photovoltaic shading devices considering energy consumption and power Generation— Hong Kong case,2025,Energy and Buildings,03787788,326,,,Article,Wang M.,,,Hong Kong University of Science and Technology,Hong Kong,19,0,
2-s2.0-105007299259,10.1080/24751448.2025.2475720,A Framework for Energy and Thermal Performance Modeling in Net-Zero Urban Clusters,2025,Technology Architecture and Design,24751448,9,1,116-141,Article,Jiang M.,,,Princeton University,United States,0,0,
2-s2.0-105025444881,10.1109/ACCESS.2025.3644180,Experimental Investigation of Interconnection Topologies for Vehicle-Integrated PV Array,2025,IEEE Access,,13,,213416-213428,Article,Awan K.S.,,,Newcastle University,United Kingdom,0,1,
2-s2.0-105008398757,10.5334/bc.597,Exploring interactions between shading and view using visual difference prediction,2025,Buildings and Cities,,6,1,281-293,Article,Wasilewski S.,,,École Polytechnique Fédérale de Lausanne,Switzerland,0,1,
2-s2.0-85215956796,10.3390/buildings15020189,Evaluating the Performance of Fixed 3D-Printed and Dynamic Fabric Modules in a Second-Skin Façade System: A Residential Case Study in Southern Italy at Building and District Scales,2025,Buildings,,15,2,,Article,Spanodimitriou Y.,,,Università degli Studi della Campania Luigi Vanvitelli,Italy,3,1,
2-s2.0-85205459706,10.1016/j.buildenv.2024.112163,Fusing Transformer and diffusion for high-resolution prediction of daylight illuminance and glare based on sparse ceiling-mounted input,2025,Building and Environment,03601323,267,,,Article,Huang Y.,,,Tsinghua University,China,31,0,
2-s2.0-105022055882,10.3389/frsus.2025.1704207,Basic aspects of caring for green facades in the city of Košice,2025,Frontiers in Sustainability,,6,,,Article,Vranayová Z.,,,Technická Univerzita v Košiciach,Slovakia,0,1,
2-s2.0-86000382132,10.1080/19401493.2024.2432916,"Parametric design workflow for solar, context-adaptive and reusable facades in changing urban environments",2025,Journal of Building Performance Simulation,19401493,18,2,161-190,Article,Dervishaj A.,,,The Royal Institute of Technology (KTH),Sweden,6,1,
2-s2.0-105001208765,10.1109/ACCESS.2025.3551226,Optimizing Building Performance: A Grasshopper Modeling Case Study of the King Hussein Mosque,2025,IEEE Access,,13,,47244-47259,Article,Albaik M.,,,Hashemite University,Jordan,4,1,
2-s2.0-105019365078,10.15627/jd.2025.25,Evaluating Daylighting Performance of Parametric Mashrabiya in Mediterranean Climate: A Simulation-based Approach,2025,Journal of Daylighting,23838701,12,2,397-419,Article,Al-Rqaibat S.,,,Jordan University of Science and Technology,Jordan,2,1,
2-s2.0-105023664482,10.1109/MCG.2025.3638242,HyShare: Hybrid Sample and Shading Reuse for Real-time Photorealistic Rendering,2025,IEEE Computer Graphics and Applications,02721716,,,,Article,Zhou Y.,,,"Futurewei Technologies, Inc.",United States,0,0,
2-s2.0-105015307416,10.1080/15567036.2025.2558167,A novel shading loss mitigation method in high density photovoltaic modules using Sovereign Butterfly Optimization for enhanced performance,2025,Energy Sources Part A Recovery Utilization and Environmental Effects,15567036,47,2,,Article,Kanth S.A.,,,National Institute of Technology Srinagar,India,0,0,
2-s2.0-105010519450,10.24846/v34i2y202503,FPGA-Based Implementation of MPPT-Controller for PV Systems Under Partial Shading Conditions,2025,Studies in Informatics and Control,12201766,34,2,27-35,Article,Ngo V.Q.B.,,,"University of Education, Hue University",Viet Nam,1,1,
2-s2.0-105011355768,10.3389/frsc.2025.1610729,"Smart 3D-printed facades: a review of innovations, materials, and sustainable performance",2025,Frontiers in Sustainable Cities,,7,,,Review,Baraboi D.R.,,,Universitatea Transilvania din Brașov,Romania,4,1,
2-s2.0-105030547976,10.18860/jia.v8i4.25911,"ISLAMIC AND SCIENTIFIC PERSPECTIVES ON SHADING COEFFICIENT, CARBON DIOXIDE CONCENTRATION REDUCTION, AND COOLING EFFECT OF PRODUCTIVE FACADE",2025,Journal of Islamic Architecture,20862636,8,4,943-956,Article,Noraduola D.R.,,,Institut Teknologi Sepuluh Nopember;Universitas Halu Oleo,Indonesia;Indonesia,0,1,
2-s2.0-105023682057,10.1080/17452759.2025.2591322,Rice husk 4D printing in architecture: hygromorphic bi-directional self-shaping building skin,2025,Virtual and Physical Prototyping,17452759,20,1,,Article,Hang H.T.,,,Korea University,South Korea,0,1,
2-s2.0-105004828092,10.2298/FUEE2502337K,OPTIMAL PLACEMENT OF BYPASS DIODES IN PV MODULES FOR ENERGY PRODUCTION IMPROVEMENT UNDER PARTIAL SHADING CONDITIONS,2025,Facta Universitatis Series Electronics and Energetics,03533670,38,2,337-353,Article,Krstić N.,,,University of Niš,Serbia,0,1,
2-s2.0-105012449826,10.1109/JPHOTOV.2025.3592680,Wireless Sensor Network-Based Fault Detection and Localization for Solar Stations: An Experimental Approach,2025,IEEE Journal of Photovoltaics,21563381,15,6,886-895,Article,Zerrougui R.,,,Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj,Algeria,1,0,
2-s2.0-85205806966,10.1109/TIA.2024.3473900,A Direct Search Nelder Mead MPPT Based Induction Motor Drive for Solar PV Water Pumping System,2025,IEEE Transactions on Industry Applications,00939994,61,1,607-617,Article,Kudlur Thyagaraju S.,,,National Institute of Technology Goa,India,10,0,
