eid,doi,doi_url,title,source
2-s2.0-85121462543,10.1088/1742-6596/2069/1/012132,https://doi.org/10.1088/1742-6596/2069/1/012132,Innovative approaches to thermochromic materials for adaptive building envelopes,Journal of Physics Conference Series
2-s2.0-85121448052,10.1088/1742-6596/2069/1/012024,https://doi.org/10.1088/1742-6596/2069/1/012024,"Performance analysis of the MICRO-V (Multifunctional, Integrated, Climate-responsive, Opaque, and Ventilated) façade with different ventilation modes",Journal of Physics Conference Series
2-s2.0-85121425535,10.1088/1742-6596/2069/1/012131,https://doi.org/10.1088/1742-6596/2069/1/012131,Electrochromic window integration in adaptive building envelopes in different climates: A genetic optimization of switchable glazing parameters to reduce energy consumptions in office buildings,Journal of Physics Conference Series
2-s2.0-85121439668,10.1088/1742-6596/2069/1/012089,https://doi.org/10.1088/1742-6596/2069/1/012089,Static and dynamic thermal characterization of facade with mineral foam insulation using a hot-box apparatus,Journal of Physics Conference Series
2-s2.0-85120848775,10.1088/1742-6596/2042/1/012056,https://doi.org/10.1088/1742-6596/2042/1/012056,Evaporative cooling strategies in urban areas: The potential of vertical greening systems to reduce nocturnal heat stress,Journal of Physics Conference Series
2-s2.0-85120866533,10.1088/1742-6596/2042/1/012072,https://doi.org/10.1088/1742-6596/2042/1/012072,Time enhanced architectural modelling (T.E.A.M.): Virtual reality project for the planning and visualization of kinetic architecture and dynamic design,Journal of Physics Conference Series
2-s2.0-85120480218,10.1088/1755-1315/907/1/012012,https://doi.org/10.1088/1755-1315/907/1/012012,Designing louvers toward optimum daylight performance in Indonesia: A parametric study,Iop Conference Series Earth and Environmental Science
2-s2.0-85112551743,10.1088/1755-1315/798/1/012001,https://doi.org/10.1088/1755-1315/798/1/012001,Energy Efficient Buildings with Algae,Iop Conference Series Earth and Environmental Science
2-s2.0-85112492238,10.1088/1755-1315/794/1/012182,https://doi.org/10.1088/1755-1315/794/1/012182,Office with Kinetic Sunshading Application on Building Envelopes at Setiabudi,Iop Conference Series Earth and Environmental Science
2-s2.0-85107426727,10.1088/1742-6596/1904/1/012014,https://doi.org/10.1088/1742-6596/1904/1/012014,A data-driven method to minimize sensor use for dynamic shading control,Journal of Physics Conference Series
2-s2.0-85096432051,10.1088/1757-899X/951/1/012014,https://doi.org/10.1088/1757-899X/951/1/012014,Progressive Collapse of flat slab structures-key elements and connections,Iop Conference Series Materials Science and Engineering
2-s2.0-85094943627,10.1088/1361-665X/abb987,https://doi.org/10.1088/1361-665X/abb987,"Design, prototyping, and evaluation of a concept for a shape-changing smart material building surface tile",Smart Materials and Structures
2-s2.0-85090332201,10.1088/1757-899X/890/1/012169,https://doi.org/10.1088/1757-899X/890/1/012169,Images of associative psychology as a generator of architectural education ideas,Iop Conference Series Materials Science and Engineering
2-s2.0-85091373991,10.1088/1757-899X/879/1/012145,https://doi.org/10.1088/1757-899X/879/1/012145,Utilizing Technology of Dynamic Faces on Buildings,Iop Conference Series Materials Science and Engineering
2-s2.0-85087331408,10.1088/1755-1315/503/1/012012,https://doi.org/10.1088/1755-1315/503/1/012012,Heating and Cooling Energy Savings of a Proposed Variable Thermal Resistance Envelope (Dynamic EIFS) in Office Buildings,Iop Conference Series Earth and Environmental Science
2-s2.0-85088145745,10.1088/1757-899X/809/1/012005,https://doi.org/10.1088/1757-899X/809/1/012005,Research on Adaptive Facade Renovation Design of Industrial Architectural Heritage: A Case Study of Nanjing Hutchison Factory,Iop Conference Series Materials Science and Engineering
2-s2.0-85082575519,10.1088/1755-1315/426/1/012107,https://doi.org/10.1088/1755-1315/426/1/012107,A study of an adaptive building facade in West Jakarta,Iop Conference Series Earth and Environmental Science
2-s2.0-85082446690,10.1088/1757-899X/753/2/022065,https://doi.org/10.1088/1757-899X/753/2/022065,The Prospects of Application in Russia New Generation of Envelopes - Dynamic/Adaptive Facades,Iop Conference Series Materials Science and Engineering
2-s2.0-85076256444,10.1088/1742-6596/1343/1/012162,https://doi.org/10.1088/1742-6596/1343/1/012162,Shaping light to influence occupants' experience of space: A kinetic shading system with composite materials,Journal of Physics Conference Series
2-s2.0-85076262438,10.1088/1742-6596/1343/1/012172,https://doi.org/10.1088/1742-6596/1343/1/012172,The energy of the green: Green facades and vertical farm as dynamic envelope for resilient building,Journal of Physics Conference Series
2-s2.0-85074426311,10.1088/1757-899X/609/3/032006,https://doi.org/10.1088/1757-899X/609/3/032006,A test bed for thermal fluid dynamic analysis of double skin facade systems,Iop Conference Series Materials Science and Engineering
2-s2.0-85074712085,10.1088/1757-899X/609/7/072027,https://doi.org/10.1088/1757-899X/609/7/072027,Control method for adaptive fa?ades based on energy conservation and glare protection strategies,Iop Conference Series Materials Science and Engineering
2-s2.0-85074473636,10.1088/1757-899X/609/6/062003,https://doi.org/10.1088/1757-899X/609/6/062003,A simulation study on the performance of double skin facąde through experimental design methods and analysis of variance,Iop Conference Series Materials Science and Engineering
2-s2.0-85074688353,10.1088/1757-899X/609/7/072067,https://doi.org/10.1088/1757-899X/609/7/072067,The energy retrofit of building fa?ades in 22@ innovation district of Barcelona: Energy performance and cost-benefit analysis.,Iop Conference Series Materials Science and Engineering
