eid,doi,doi_url,title,source
2-s2.0-85125468288,,,Origami Explorations A Generative Parametric Technique For kinetic cellular façade to optimize Daylight Performance,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-84973526839,,,Adaptive decorative building skin,Caadria 2016 21st International Conference on Computer Aided Architectural Design Research in Asia Living Systems and Micro Utopias Towards Continuous Designing
2-s2.0-84973549990,,,The development of kinetic façade units with BIM-based active control system for the adaptive building energy performance service,Caadria 2016 21st International Conference on Computer Aided Architectural Design Research in Asia Living Systems and Micro Utopias Towards Continuous Designing
2-s2.0-85067901098,,,A method of energy simulation for dynamic building envelopes,ASHRAE and Ibpsa Usa Building Simulation Conference
2-s2.0-85127769591,,,Material Active Geometry Constituting Programmable Materials for Responsive Building Skins,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-85127763144,,,Using Tensegrity and Folding to Generate Soft Responsive Architectural Skins,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-85048216619,,,Machine learning integration for adaptive building envelopes,Acadia 2016 Posthuman Frontiers Data Designers and Cognitive Machines Proceedings of the 36th Annual Conference of the Association for Computer Aided Design in Architecture
2-s2.0-84986880469,,,Prismatic glazings for façade envelopes,Cesb 2016 Central Europe Towards Sustainable Building 2016 Innovations for Sustainable Future
2-s2.0-85018960635,,,Kinetic roof structure: Msheireb heart of Doha,IABSE Congress Stockholm 2016 Challenges in Design and Construction of an Innovative and Sustainable Built Environment
2-s2.0-85010991418,,,Wooden bilayers for innovative climate adaptive shading and tracking systems,Wcte 2016 World Conference on Timber Engineering
2-s2.0-85053830714,,,New developments in dynamic glass: Towards a new era in sustainable construction,Challenging Glass Conference Proceedings Challenging Glass 5 Conference on Architectural and Structural Applications of Glass Cgc 2016
2-s2.0-84986889098,,,Dynamic thermal performance of the conventional and alterative building envelope materials,Cesb 2016 Central Europe Towards Sustainable Building 2016 Innovations for Sustainable Future
2-s2.0-84994591823,,,The glass walls of the Brazilian palace of Congress,Proceedings of the 14th International Docomomo Conference Adaptive Reuse the Modern Movement Towards the Future
2-s2.0-85053668997,,,Field demonstration of superior performance of advanced building envelope technologies,Thermal Performance of the Exterior Envelopes of Whole Buildings
2-s2.0-85127753607,,,Magnet-based Interactive Kinetic Bricks,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-84973577793,,,Breathing skins for wind modulation through morphology : Toward integrating turbulence studies within tectonic scale for design of façade components,Caadria 2016 21st International Conference on Computer Aided Architectural Design Research in Asia Living Systems and Micro Utopias Towards Continuous Designing
2-s2.0-84944088873,,,Dynamic and adaptive building envelopes,Consulting Specifying Engineer
