eid,doi,doi_url,title,source
2-s2.0-105008398757,10.5334/bc.597,https://doi.org/10.5334/bc.597,Exploring interactions between shading and view using visual difference prediction,Buildings and Cities
2-s2.0-105029224408,10.52842/conf.ecaade.2025.2.445,https://doi.org/10.52842/conf.ecaade.2025.2.445,Smart Hinges Using Shape Memory Alloys for Architectural Applications,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-105033524339,10.7712/120125.12585.25759,https://doi.org/10.7712/120125.12585.25759,ASSESSING THE IMPACT OF HORIZONTAL RESTRAINTS ON THE SEISMIC ROCKING OF MASONRY FAÇADES INCLUDING DYNAMIC SOIL-STRUCTURE INTERACTION,Compdyn Proceedings
2-s2.0-105030547976,10.18860/jia.v8i4.25911,https://doi.org/10.18860/jia.v8i4.25911,"ISLAMIC AND SCIENTIFIC PERSPECTIVES ON SHADING COEFFICIENT, CARBON DIOXIDE CONCENTRATION REDUCTION, AND COOLING EFFECT OF PRODUCTIVE FACADE",Journal of Islamic Architecture
2-s2.0-105022788070,10.47556/j.wjstsd.20.4.2025.1,https://doi.org/10.47556/j.wjstsd.20.4.2025.1,The Multi-Objective Optimisation for Energy Consumption and Daylight of Office Buildings in London: Meshed Façade Energy Study,World Journal of Science Technology and Sustainable Development
2-s2.0-105023438458,10.52842/conf.caadria.2025.2.449,https://doi.org/10.52842/conf.caadria.2025.2.449,Programming Bilayer Structures in 4D-printed Hygromorphs by Tailoring Porosity in Macroscale,Proceedings of the International Conference on Computer Aided Architectural Design Research in Asia
2-s2.0-105014513235,10.13124/9788860462022_22,https://doi.org/10.13124/9788860462022_22,Automating Solar Shading Control in Residential Buildings Located in a Temperate Climate: A Household-Specific Decision,Building Simulation Applications
2-s2.0-85218276725,10.21741/9781644903391-38,https://doi.org/10.21741/9781644903391-38,Towards resilient architecture in technological innovation and AI,Materials Research Proceedings
2-s2.0-85217873829,10.15627/jd.2024.26,https://doi.org/10.15627/jd.2024.26,Design Alternatives of Light Shelves using Altmann Linkage,Journal of Daylighting
2-s2.0-105018429412,10.1108/978-1-83549-818-720243007,https://doi.org/10.1108/978-1-83549-818-720243007,Biomimetic architecture: exploring adaptive facades inspired by nature,Intelligent Buildings and Infrastructure with Sustainable and Social Values Third Edition
2-s2.0-85207964682,10.18280/ijdne.190503,https://doi.org/10.18280/ijdne.190503,Influence of Italian Climatic Conditions on Performance of a 3D Printed Building Second-Skin Façade with 20% Gyroid Filling: Simulation Assessment,International Journal of Design and Nature and Ecodynamics
2-s2.0-85197406007,10.2507/ijsimm23-2-687,https://doi.org/10.2507/ijsimm23-2-687,SIMULATION STUDY ON DYNAMIC ENVELOPE AND INTERFERENCE CHECK OF STITCH WIRE,International Journal of Simulation Modelling
2-s2.0-85185021235,10.21608/auej.2023.243338.1449,https://doi.org/10.21608/auej.2023.243338.1449,ENHANCING ENERGY CONSUMPTION IN EGYPT WITHIN ADAPTIVE FACADE TECHNIQUES,Journal of Al Azhar University Engineering Sector
2-s2.0-85213042914,10.62476/ndi83567,https://doi.org/10.62476/ndi83567,"BIOMIMETIC APPROACH FOR ADAPTIVE, RESPONSIVE AND KINETIC BUILDING FACADES: A BIBLIOMETRIC REVIEW OF EMERGING TRENDS",New Design Ideas
2-s2.0-85178491291,10.13189/cea.2024.120125,https://doi.org/10.13189/cea.2024.120125,An Approach to Using Shape Memory Alloys in Kinetic Facades to Improve the Thermal Performance of Office Building Spaces,Civil Engineering and Architecture
2-s2.0-85209815164,10.52842/conf.ecaade.2024.1.431,https://doi.org/10.52842/conf.ecaade.2024.1.431,Cast Adaptive/Kinetic Façades The application of sand casting on manufacturing the adaptive/kinetic facades,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-85190757691,10.46855/energy-proceedings-10969,https://doi.org/10.46855/energy-proceedings-10969,Application Potential Analysis of a New Dynamic Building Envelope in Public Buildings,Energy Proceedings
2-s2.0-85209784237,10.52842/conf.ecaade.2024.1.273,https://doi.org/10.52842/conf.ecaade.2024.1.273,Preliminary Energy Simulations of Smart Materials on Building Facade: A hypothetical case study to determined energy performance of smart materials,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-105027921914,10.71846/18-wcee-2566,https://doi.org/10.71846/18-wcee-2566,SEISMIC RESPONSE OF THE CABLE-SUPPORTED GLASS FACADES BETWEEN ADJACENT STRUCTURES,World Conference on Earthquake Engineering Proceedings
2-s2.0-85209773472,10.52842/conf.ecaade.2024.1.361,https://doi.org/10.52842/conf.ecaade.2024.1.361,Climate-responsive Hygroscopic: Wood Bilayers Programmed via Laser Modification,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
